"Students Sets","Subject","Teachers","Total Duration"
"Bioinformática","TBI704 - Algorítimos em Bioinformática","Dieval Guizelini","4"
"Bioinformática","TBI711 - Linguagem de Programação","Mauro Antonio Alves Castro","4"
"Bioinformática","TBI718 - Produção Científica em Bioinformática","Jeroniza Nunes Marchaukoski","3"
"Bioinformática","TBI719 - Sessão de Referatas I","Jeroniza Nunes Marchaukoski","1"
"Bioinformática","TBI719 - Sessão de Referatas I","Roberto Tadeu Raittz","1"
"Bioinformática","TBI720 - Sessão de Referatas II","Jeroniza Nunes Marchaukoski","2"
"Bioinformática","TBI720 - Sessão de Referatas II","Roberto Tadeu Raittz","2"
"Bioinformática","TBI724 - Fundamentos de Informática para Bioinformática","Dieval Guizelini","1"
"Bioinformática","TBI727 - Tópicos III em Bioinformática - Projeções vetoriais e redução de Dimensionalidade","Roberto Tadeu Raittz","1"
"TACS 1º Período","TACS001 - Políticas de Saúde I","Dione Maria Menz","2"
"TACS 1º Período","TACS002 - Processo de Trabalho em Saúde","Izabel do Rocio Costa Ferreira","2"
"TACS 1º Período","TACS003 - Processo Saúde-Doenca","Izabel do Rocio Costa Ferreira","3"
"TACS 1º Período","TACS004 - Fundamentos Epidemiologicos para o Trabalho no Territorio","Terezinha Maria Mafioletti","4"
"TACS 1º Período","TACS006 - Promocao da Saude","Silvia Cristina Sprengel de Alencar","4"
"TACS 1º Período","TACS007 - Educacao em Saude I","Izabel do Rocio Costa Ferreira","2"
"TACS 1º Período","TACS008 - Português Instrumental","Marly de Castro Campos Coati","2"
"TACS 3º Período","TACS016 - Vigilancia a Saude da Mulher","Terezinha Maria Mafioletti","2"
"TACS 3º Período","TACS017 - Vigilancia a Saude da Crianca e do Adolescente","Dione Maria Menz","2"
"TACS 3º Período","TACS018 - Vigilancia a Saude do Homem","Silvia Cristina Sprengel de Alencar","2"
"TACS 3º Período","TACS019 - Vigilancia a Saude do Idoso","Izabel do Rocio Costa Ferreira","2"
"TACS 3º Período","TACS020 - Saude Mental","Dione Maria Menz","2"
"TACS 3º Período","TACS021 - Saude Bucal","Luci Regina Panka Archegas","4"
"TACS 3º Período","TACS022 - Projetos II","Savio Marcelo Leite Moreira da Silva","4"
"TADS D 1º Periodo","DS011 - Introdução a arquitetura de computadores","Pedro Rodrigues Torres Junior","4"
"TADS D 1º Periodo","DS110 - Projetos de Algoritmos e Prática de Programação","Luiz Antonio Passos Cardoso","4"
"TADS D 1º Periodo","DS210 - Engenharia de requisitos","Rafaela Mantovani Fontana","2"
"TADS D 1º Periodo","DS211 - Sistemas de Informação","Mario de Paula Soares Filho","2"
"TADS D 1º Periodo","DS611 - Estatística para computação","Arno Paulo Schmitz","2"
"TADS D 1º Periodo","DS612 - Matemática para Computação","Cicero Osvaldo Coati","4"
"TADS D 3° Periodo","DS030 - Sistemas Operacionais","Alexander Robert Kutzke","2"
"TADS D 3° Periodo","DS230 - Análise e Projetos de Sistemas II","Mario de Paula Soares Filho","2"
"TADS D 3° Periodo","DS230 - Análise e Projetos de Sistemas II","Sandramara Scandelari Kusano de Paula","2"
"TADS D 3° Periodo","DS330 - Banco de Dados II","Jeroniza Nunes Marchaukoski","4"
"TADS D 3° Periodo","DS630 - Direito Aplicado","Silvana Maria Carbonera","1"
"TADS D 5º Periodo","TI146 - Qualidade de Software","Rafaela Mantovani Fontana","2"
"TADS D 5º Periodo","TI148 - Inteligencia Computacional Aplicada","Roberto Tadeu Raittz","4"
"TADS D 5º Periodo","TI160 - Ergonomia das Interfaces de Aplicacoes","Sandramara Scandelari Kusano de Paula","2"
"TADS D 5º Periodo","TI167 - Desenvolvimento de Aplicacoes para WEB II","Razer Anthom Nizer Rojas Montano","4"
"TADS N 1º Periodo","DS011 - Introdução a arquitetura de computadores","Pedro Rodrigues Torres Junior","4"
"TADS N 1º Periodo","DS110 - Projetos de Algoritmos e Prática de Programação","Luiz Antonio Passos Cardoso","4"
"TADS N 1º Periodo","DS210 - Engenharia de requisitos","Rafaela Mantovani Fontana","2"
"TADS N 1º Periodo","DS211 - Sistemas de Informação","Mario de Paula Soares Filho","2"
"TADS N 1º Periodo","DS611 - Estatística para computação","Arno Paulo Schmitz","2"
"TADS N 1º Periodo","DS612 - Matemática para Computação","Cicero Osvaldo Coati","4"
"TADS N 2º Periodo","DS020 - Redes de Computadores","Pedro Rodrigues Torres Junior","4"
"TADS N 2º Periodo","DS120 - Desenvolvimento WEB I","Alexander Robert Kutzke","2"
"TADS N 2º Periodo","DS220 - Análise e Projetos de Sistemas I","Jaime Wojciechowski","2"
"TADS N 2º Periodo","DS221 - Modelagem e Análise de Processos de Negócio","Mario de Paula Soares Filho","2"
"TADS N 2º Periodo","DS622 - Comportamento Organizacional","Maria Valéria da Costa","2"
"TADS N 3º Periodo","DS030 - Sistemas Operacionais","Alessandro Brawerman","2"
"TADS N 3º Periodo","DS230 - Análise e Projetos de Sistemas II","Jaime Wojciechowski","2"
"TADS N 3º Periodo","DS330 - Banco de Dados II","Jeroniza Nunes Marchaukoski","4"
"TADS N 3º Periodo","DS630 - Direito Aplicado","Silvana Maria Carbonera+Cibelle Bonatto ","1"
"TADS N 4º Período","TI141 - Linguagem de Programacao Orientada a Objetos","Rafael Romualdo Wandresen","6"
"TADS N 4º Período","TI143 - Gerencia de Projetos de Software","Rafaela Mantovani Fontana","2"
"TADS N 4º Período","TI145 - Metodologia Orientada a Objetos para Modelagem de Sistemas","Jaime Wojciechowski","2"
"TADS N 4º Período","TI147 - Especificacao de Projeto de Software com UML","Jaime Wojciechowski","2"
"TADS N 4º Período","TI158 - Topicos Especiais em Analise e Desenvolvimento de Sistemas","Luiz Antonio Pereira Neves","2"
"TADS N 5º Periodo","TI146 - Qualidade de Software","Rafaela Mantovani Fontana","2"
"TADS N 5º Periodo","TI148 - Inteligencia Computacional Aplicada","Roberto Tadeu Raittz","4"
"TADS N 5º Periodo","TI160 - Ergonomia das Interfaces de Aplicacoes","Sandramara Scandelari Kusano de Paula","2"
"TADS N 5º Periodo","TI167 - Desenvolvimento de Aplicacoes para WEB II","Razer Anthom Nizer Rojas Montano","4"
"TADS N 6º Período","DS800 - Gestão de Pessoas para Informática","Savio Marcelo Leite Moreira da Silva","2"
"TADS N 6º Período","DS874 - Tópicos Especiais em Redes de Computadores","Alessandro Brawerman","2"
"TADS N 6º Período","TI026 - Prototipacao de Aplicativos Moveis","Alexander Robert Kutzke","2"
"TADS N 6º Período","TI027 - Pratica de Algoritimos","Luiz Antonio Pereira Neves","2"
"TADS N 6º Período","TI028 - Metodologia Cientifica","Maria Valéria da Costa","2"
"TADS N 6º Período","TI149 - Direito Aplicado","Silvana Maria Carbonera+Cibelle Bonatto ","2"
"TADS N 6º Período","TI153 - Filosofia e etica Profissional I","Paulo Eduardo Sobreira Moraes","2"
"TADS N 6º Período","TI155 - Auditoria e Seguranca de sistemas","João Eugênio Marynowski","2"
"TADS N 6º Período","TI159 - Topicos Especiais (Mobile)","Alessandro Brawerman","4"
"TADS_D_1_Ead","DS010 - Administração de Sistemas","Mauro Antonio Alves Castro","2"
"TADS_D_1_Ead","DS110 - Projetos de Algoritmos e Prática de Programação","Luiz Antonio Passos Cardoso","2"
"TADS_D_1_Ead","DS210 - Engenharia de requisitos","Rafaela Mantovani Fontana","1"
"TADS_D_1_Laboratório","DS010 - Administração de Sistemas","","2"
"TADS_D_1_Sala","DS010 - Administração de Sistemas","Mauro Antonio Alves Castro","2"
"TADS_D_3_Ead","DS030 - Sistemas Operacionais","Alexander Robert Kutzke","2"
"TADS_D_3_Ead","DS230 - Análise e Projetos de Sistemas II","Mario de Paula Soares Filho","1"
"TADS_D_3_Ead","DS230 - Análise e Projetos de Sistemas II","Sandramara Scandelari Kusano de Paula","1"
"TADS_D_3_Ead","DS630 - Direito Aplicado","Silvana Maria Carbonera","1"
"TADS_D_3_Ead","DS632 - Humanidades","Dione Tinti","2"
"TADS_D_3_Lab","DS130 - Estrutura de Dados I","","2"
"TADS_D_3_Lab","DS131 - Linguagem de Programação Orientada a Objetos I","","2"
"TADS_D_3_Sala","DS130 - Estrutura de Dados I","Andreia de Jesus","4"
"TADS_D_3_Sala","DS131 - Linguagem de Programação Orientada a Objetos I","Dieval Guizelini","4"
"TADS_D_5_Ead","TI160 - Ergonomia das Interfaces de Aplicacoes","Sandramara Scandelari Kusano de Paula","2"
"TADS_D_5_Laboratório","TI156 - Topicos de Banco de Dados","","2"
"TADS_D_5_Laboratório","TI162 - Desenvolvimento de Aplicacoes Corporativas","","2"
"TADS_D_5_Sala","TI156 - Topicos de Banco de Dados","João Eugênio Marynowski","4"
"TADS_D_5_Sala","TI162 - Desenvolvimento de Aplicacoes Corporativas","Razer Anthom Nizer Rojas Montano","4"
"TADS_N_1_Ead","DS010 - Administração de Sistemas","Mauro Antonio Alves Castro","2"
"TADS_N_1_Ead","DS110 - Projetos de Algoritmos e Prática de Programação","Luiz Antonio Passos Cardoso","2"
"TADS_N_1_Ead","DS210 - Engenharia de requisitos","Rafaela Mantovani Fontana","1"
"TADS_N_1_Laboratório","DS010 - Administração de Sistemas","","2"
"TADS_N_1_Sala","DS010 - Administração de Sistemas","Mauro Antonio Alves Castro","2"
"TADS_N_2_Ead","DS121 - Linguagem de Programação","Andreia de Jesus","1"
"TADS_N_2_Ead","DS220 - Análise e Projetos de Sistemas I","Jaime Wojciechowski","2"
"TADS_N_2_Ead","DS221 - Modelagem e Análise de Processos de Negócio","Mario de Paula Soares Filho","2"
"TADS_N_2_Ead","DS622 - Comportamento Organizacional","Maria Valéria da Costa","1"
"TADS_N_2_Laboratório","DS121 - Linguagem de Programação","","2"
"TADS_N_2_Laboratório","DS320 - Banco dode Dados I","","2"
"TADS_N_2_Sala","DS121 - Linguagem de Programação","Andreia de Jesus","4"
"TADS_N_2_Sala","DS320 - Banco dode Dados I","João Eugênio Marynowski","4"
"TADS_N_3_Ead","DS030 - Sistemas Operacionais","Alessandro Brawerman","2"
"TADS_N_3_Ead","DS230 - Análise e Projetos de Sistemas II","Jaime Wojciechowski","4"
"TADS_N_3_Ead","DS630 - Direito Aplicado","Silvana Maria Carbonera+Cibelle Bonatto ","1"
"TADS_N_3_Ead","DS632 - Humanidades","Dione Tinti","2"
"TADS_N_3_Laboratório","DS130 - Estrutura de Dados I","","2"
"TADS_N_3_Laboratório","DS131 - Linguagem de Programação Orientada a Objetos I","","4"
"TADS_N_3_Sala","DS130 - Estrutura de Dados I","Andreia de Jesus","4"
"TADS_N_3_Sala","DS131 - Linguagem de Programação Orientada a Objetos I","Rafael Romualdo Wandresen","4"
"TADS_N_4_Ead","TI145 - Metodologia Orientada a Objetos para Modelagem de Sistemas","Jaime Wojciechowski","2"
"TADS_N_4_Ead","TI147 - Especificacao de Projeto de Software com UML","Jaime Wojciechowski","4"
"TADS_N_4_Laboratório","TI116 - Sistemas Gerenciadores de Banco de Dados","","2"
"TADS_N_4_Sala","TI116 - Sistemas Gerenciadores de Banco de Dados","Dieval Guizelini","4"
"TADS_N_5_Ead","TI160 - Ergonomia das Interfaces de Aplicacoes","Sandramara Scandelari Kusano de Paula","2"
"TADS_N_5_Laboratório","TI156 - Topicos de Banco de Dados","","2"
"TADS_N_5_Laboratório","TI162 - Desenvolvimento de Aplicacoes Corporativas","","2"
"TADS_N_5_Sala","TI156 - Topicos de Banco de Dados","Dieval Guizelini","4"
"TADS_N_5_Sala","TI162 - Desenvolvimento de Aplicacoes Corporativas","Luiz Antonio Pereira Neves","4"
"TCI 1º Período","TCI010 - Laboratorio de Tecnicas de Comunicacao - Imagem","Flavia Lucia Bazan Bespalhok","4"
"TCI 1º Período","TCI321 - Tecnicas de Expressao Oral","Letícia Salem Herrmann Lima","2"
"TCI 1º Período","TCI329 - Gestao Empresarial","Maura Regina Franco","2"
"TCI 3º Período","TCI011 - Assessoria de Comunicacao e Imprensa","Juliane Martins","4"
"TCI 5º Período","TCI213 - Orientacao I","Juliane Martins","2"
"TCI 5º Período","TCI315 - Ética e Comunicação","Letícia Salem Herrmann Lima","2"
"TCI 5º Período","TCI316 - Legislacao da Comunicacao","Silvana Maria Carbonera","2"
"TCI 5º Período","TCI326 - Cerimonial, Protocolo e Eventos","Letícia Salem Herrmann Lima","2"
"TCI 5º Período","TCI328 - Negociacao e Gerenciamento de Conflitos","Daniele Cristine Nickel","2"
"TCI_1_A","TCI301 - Oficina de Producao de Textos Informativos","Ana Carolina de Araújo Silva","4"
"TCI_1_A","TCI305 - Laboratorio de Programacao Visual","Ana Carolina de Araújo Silva","4"
"TCI_1_B","TCI305 - Laboratorio de Programacao Visual","Ana Carolina de Araújo Silva","4"
"TCI_1_Espanhol","TCI331 - Lingua espanhola I","Lilian dos Santos Silva Ribeiro","4"
"TCI_1_Inglês","TCI341 - Lingua inglesa I","Adriana Cristina Sambugaro de Mattos Brahim","4"
"TCI_1_Laboratório","TCI301 - Oficina de Producao de Textos Informativos","","2"
"TCI_1_Laboratório","TCI305 - Laboratorio de Programacao Visual","","8"
"TCI_3_A","TCI302 - Oficina de Producao de Textos Persuasivos","Cleverson Ribas Carneiro","4"
"TCI_3_A","TCI308 - Laboratorio de Tecnicas de Comunicacao - audio","Flavia Lucia Bazan Bespalhok","4"
"TCI_3_A","TCI608 - Midia","Letícia Salem Herrmann Lima","2"
"TCI_3_Alemão","TCI351 - Lingua Alema I","Jorge José de Oliveira","4"
"TCI_3_B","TCI069 - Prática em Projetos da Agência","Juliane Martins","2"
"TCI_3_C","TCI071 - Análise do Consumidor","Letícia Salem Herrmann Lima","2"
"TCI_3_D","TCI062 - Prática de Impresso","Juliane Martins","2"
"TCI_3_Espanhol","TCI333 - Lingua espanhola III","Lilian dos Santos Silva Ribeiro","4"
"TCI_3_Francês","TCI361 - Lingua Francesa I","Maria Estela dos Santos Lima","4"
"TCI_3_Inglês","TCI343 - Lingua inglesa III","Adriana Cristina Sambugaro de Mattos Brahim","4"
"TCI_3_Laboratório","TCI302 - Oficina de Producao de Textos Persuasivos","","4"
"TCI_3_Laboratório","TCI308 - Laboratorio de Tecnicas de Comunicacao - audio","","4"
"TCI_5_A","TCI303 - Oficina de Producao de Textos Corporativos","Cleverson Ribas Carneiro","4"
"TCI_5_A","TCI310 - Laboratorio de Tecnicas de Comunicacao - Web","Alexander Robert Kutzke","4"
"TCI_5_B","TCI310 - Laboratorio de Tecnicas de Comunicacao - Web","Letícia Salem Herrmann Lima","2"
"TCI_5_Espanhol","TCI335 - Lingua espanhola V","Valéria Verônica Quiroga","4"
"TCI_5_Inglês","TCI345 - Lingua inglesa V","Prof. Substituto Português/Inglês","4"
"TCI_5_Laboratório","TCI303 - Oficina de Producao de Textos Corporativos","","4"
"TGP 1º Período","GP101 - Teorias da Administração Pública","Christian Mendez Alcantara","4"
"TGP 1º Período","GP102 - Estado, Direito e Administração Pública","Thiago Lima Breus","4"
"TGP 1º Período","GP103 - Fundamentos da Gestão","Cleci Korbes","4"
"TGP 1º Período","GP104 - Fundamentos da Economia","Guilherme Ricardo dos Santos Souza e Silva","4"
